Ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000115825,1349.126255,2.188251416,0.22435661,9.753451957,1.78E-22,1.63E-18
ENSG00000129521,268.0216776,2.765093063,0.283863401,9.74092838,2.02E-22,1.63E-18
ENSG00000174697,18166.48633,3.543246805,0.375474485,9.436717942,3.85E-21,2.07E-17
ENSG00000123999,2094.498832,1.849762433,0.20435492,9.051714691,1.41E-19,5.69E-16
ENSG00000111961,4006.239649,2.415982698,0.269736796,8.956815442,3.34E-19,1.08E-15
ENSG00000126803,460.3902844,1.358336403,0.152743967,8.892897249,5.95E-19,1.61E-15
ENSG00000169495,2369.954096,3.105755351,0.359959909,8.628059045,6.24E-18,1.44E-14
ENSG00000111859,851.6871231,1.611827848,0.193184724,8.343453944,7.22E-17,1.46E-13
ENSG00000165105,772.7401234,2.161641474,0.260941694,8.284001837,1.19E-16,2.14E-13
